missing	train error	dev error	test error
glove_src_para_sim	0.001092	0.146623	0.145288
glove_src_para_dist	0.001091	0.146507	0.145308
glove_src_para_david	0.001091	0.146507	0.145308
glove_src_orig_sim	0.001092	0.146393	0.144907
glove_src_orig_dist	0.00109	0.146581	0.145387
glove_src_orig_david	0.00109	0.146581	0.145387
glove_orig_para_sim	0.001091	0.146367	0.144951
glove_orig_para_dist	0.001091	0.146628	0.1452
glove_orig_para_david	0.001091	0.146572	0.145159
glove_align_para_sim	0.001093	0.146683	0.145278
glove_align_para_dist	0.001092	0.146541	0.14501
glove_align_para_david	0.001092	0.146541	0.14501
w2v_src_para_sim	0.001092	0.146484	0.145124
w2v_src_para_dist	0.001091	0.146506	0.145256
w2v_src_para_david	0.001091	0.146547	0.145357
w2v_src_orig_sim	0.001091	0.146188	0.14476
w2v_src_orig_dist	0.001091	0.14656	0.145376
w2v_src_orig_david	0.001091	0.14656	0.145376
w2v_orig_para_sim	0.001091	0.146192	0.144548
w2v_orig_para_dist	0.00109	0.146373	0.145265
w2v_orig_para_david	0.00109	0.146284	0.145181
w2v_align_para_sim	0.001092	0.146569	0.145265
w2v_align_para_dist	0.001092	0.146541	0.14501
w2v_align_para_david	0.001092	0.146541	0.14501
elmo_src_para_sim	0.001116	0.14655	0.145203
elmo_src_para_dist	0.001113	0.146679	0.145125
elmo_src_para_david	0.001113	0.146654	0.145125
elmo_src_orig_sim	0.001116	0.146766	0.145226
elmo_src_orig_dist	0.001116	0.14661	0.145142
elmo_src_orig_david	0.001116	0.146641	0.145146
elmo_orig_para_sim	0.001116	0.146598	0.145151
elmo_orig_para_dist	0.001116	0.14669	0.145304
elmo_orig_para_david	0.001116	0.146706	0.14528
elmo_align_para_sim	0.001116	0.146562	0.145202
elmo_align_para_dist	0.001116	0.146608	0.145153
elmo_align_para_david	0.001116	0.146577	0.145106
ng_src_para	0.001092	0.146368	0.145084
ng_src_orig	0.001089	0.148038	0.146775
ng_orig_para	0.001094	0.146327	0.145082
ng_align_para	0.001095	0.146699	0.145292
